game_id,total_incercari,cuvant_gasit,status,secventa_incercari
1,8,iconografă,OK,e i n o c g f ă
2,8,fagocitul,OK,i l u p t f g o
3,5,apicolilor,OK,i l o a r
4,6,hipoplazii,OK,i p e l a z
5,5,prohodi,OK,r g p d i
6,6,cioplea,OK,i s c o e a
7,8,covârșitelor,OK,e r o l c â ș t
8,6,pârguirile,OK,r e l i â g
9,7,burghierile,OK,i l a u g b h
10,8,samavolnicii,OK,e c o a s v l n
11,4,cășăiește,OK,e ș c i
12,3,sisalul,OK,u l i
13,5,cinerariile,OK,i e c n l
14,8,dezaglomerăm,OK,e m d z g l o ă
15,6,tetrodă,OK,i a e t o d
16,6,mânjiturii,OK,i t â j n m
17,8,desofisticării,OK,i s o t c d ă r
18,4,tăieri,OK,i u e ă
19,8,gentileților,OK,r o a n e g t ț
20,8,nenorocitul,OK,r o n e m t u l
21,5,înaintă,OK,a n î e ă
22,9,istmicul,OK,i c a r o m n s t
23,9,ascuțitunghicul,OK,i a s ț t n g h l
24,6,obnubilărilor,OK,i r l b n u
25,6,bumbăcelului,OK,i u b l m e
26,10,postăvăriile,OK,i l e c t o s b p v
27,9,centrozomul,OK,u t n r c o m s z
28,6,debavurase,OK,e a d b v r
29,6,vramițe,OK,e r ă a ț m
30,4,retori,OK,a e r o
31,7,epistolarelor,OK,o r e p s t a
32,9,închiabureați,OK,i a î n c u r e ț
33,7,laminatoarea,OK,i a t o r m n
34,10,platinez,OK,r i n c s m p l a t
35,7,țăndărelei,OK,i u e ă ț n l
36,6,tevaturi,OK,e d t v u i
37,6,fidanțata,OK,i e a n ț t
38,11,exondările,OK,i r ă x c t h s o n d
39,7,decomandată,OK,o n e d c t ă
40,5,omagiali,OK,e a i o g
41,6,stâlpisem,OK,i s m t â l
42,4,elfilor,OK,f i o r
43,8,deconcertantele,OK,i e n t d o r l
44,8,gagicului,OK,l t c o a b s g
45,7,apelarăm,OK,i e p t r ă m
46,9,spermatofitelor,OK,r e t s p m a i l
47,7,necredincioșilor,OK,i n e c d ș l
48,7,cinstețul,OK,i e n c ț u l
49,8,neoformațiunii,OK,i n e f m a ț u
50,8,pegmatitul,OK,i o t e m a u l
51,5,plutuiește,OK,ș i u p l
52,6,cintezii,OK,n r t ș c z
53,7,folfăiesc,OK,r l e c s ă f
54,7,otorinolaringologelor,OK,o r n g t a e
55,5,estetizantei,OK,t i s z n
56,8,balaoacheșă,OK,i a e l o c h ș
57,6,notăriță,OK,i c r ț t n
58,6,duleți,OK,i e g a u ț
59,7,rickettsiozei,OK,i t r c k o z
60,4,cireșe,OK,i a r e
61,5,zgărdat,OK,r z g a t
62,9,prețioaselor,OK,r a e t g p ț i s
63,8,dimprejur,OK,o e s i m p j u
64,6,bulbucat,OK,i a e u b c
65,7,arierdună,OK,i a t r e u ă
66,6,flacidei,OK,r a e l d f
67,7,convenționali,OK,i n o c v e a
68,7,cuconiță,OK,i r l n c o u
69,7,neliniștitorului,OK,i l t u e o r
70,7,bihindisirile,OK,i h n d s l e
71,9,împlinirea,OK,i a t r p e s î m
72,5,instigând,OK,t n â d g
73,3,recente,OK,e n t
74,6,emblemă,OK,r n z m b l
75,8,singurașul,OK,e i u s n r a l
76,8,subsecretarului,OK,r s u b c a l i
77,10,devitalizaserăm,OK,r s m a i l z v t d
78,10,subapreciez,OK,e o b s u a p c m z
79,6,clasatului,OK,i u a j s t
80,8,faraonicul,OK,i a o f c e u l
81,6,înrolărilor,OK,i l a î n ă
82,7,primeziu,OK,a i c p m e z
83,5,cruciatului,OK,l u i r t
84,8,prodigatele,OK,r i e l t a d g
85,13,vina,OK,i b c d f k l m o r t u v
86,6,cifrarăm,OK,i c a e ă m
87,10,înfruntasem,OK,e i a r n î u t c f
88,6,vioșeli,OK,e r b i v l
89,11,amușiserăți,OK,i r s e u l c p a m ș
90,7,telegrafiară,OK,t a l g f i ă
91,9,citronadele,OK,e l o n s i c t r
92,10,baschetbaliștilor,OK,i t b a l c h e ș o
93,6,septicul,OK,u i t c e s
94,2,veneno,OK,e v
95,8,gudronăm,OK,m n a i r d g u
96,7,cordenciului,OK,i u o d e n l
97,8,stropșire,OK,i r u c o p ș e
98,7,foiletonist,OK,r l o t e n s
99,8,pliciseră,OK,r e i c a b p l
100,7,achitat,OK,s p n e i c h
